"['Haliangium', 'ochraceum']","['Haliangium', 'ochraceum', 'DSM', '14365']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'T676']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lomondensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lilacinus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MspMP-M5']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'uncialis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'varsoviensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'FJS31-2']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'F-4474']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albogriseolus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CB03234']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'luteocolor']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'TK08046']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'RI-77']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'A1(2016)']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'globisporus', 'C-1027']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'canus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'minoensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'muensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ZJ306']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS057']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS113']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'strain', 'ATCC', '14903']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NTK', '937']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CS149']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'caniferus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'bernensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tateyamensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ID38640']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'RM-5-8']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cyaneofuscatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'LC-6-2']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'achromogenes', 'subsp.', 'achromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'S-146']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hygrospinosus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'citricolor']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'aurantiacus', 'JA', '4570']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'filamentosus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', '211726']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'RI18']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NBRC', '110030']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cattleya', 'NRRL', '8057', '=', 'DSM', '46488']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'zelensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albulus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'katrae']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'JV178']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CNT302']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'curacoi']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SCSIO', '1666']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CB02366']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'KY5']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'lunaelactis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'ficellus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'B-1347']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CB01883']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'WAC2288']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'atratus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'F-5702']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'S-118']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MP131-18']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ICBB', '8177']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'mirabilis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'gilvosporeus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'koyangensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'IMB7-145']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'paulus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'YN86']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'F-525']"
"['Streptomyces', 'daliensis']","['Candidatus', 'Streptomyces', 'philanthi', 'bv.', 'triangulum']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'pristinaespiralis', 'ATCC', '25486']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MBT76']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'globisporus', 'subsp.', 'globisporus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'rimosus', 'subsp.', 'rimosus', 'ATCC', '10970']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'KIB-H033']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SoC090715LN-17']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SD85']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sclerotialus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'fimbriatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'showdoensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'flocculus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'seoulensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'malaysiense']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'WC-3703']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'KCB13F003']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SANK', '60404']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CB02120-2']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CBMAI', '2042']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'F001']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'erythrochromogenes']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'S-378']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ISID311']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'NRRL', 'F-4335']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'CB09001']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'luteoverticillatus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'MA37']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'somaliensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'cyslabdanicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'nigrescens']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'SoC090715LN-16']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'armeniacus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'tubercidicus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'miharaensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'novoguineensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hiroshimensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'albus', 'subsp.', 'chlorinus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'hawaiiensis']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'candidus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'chrestomyceticus']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'afghaniensis', '772']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'ZS0098']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'QL37']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'S816']"
"['Streptomyces', 'daliensis']","['Streptomyces', 'sp.', 'IB2014', '016-6']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'plantarum']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'acidophilus']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'gasseri']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'sakei']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'salivarius']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'paragasseri', 'JV-V03']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'johnsonii']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'rhamnosus', 'GG']"
"['Lactobacillus', 'helsingborgensis']","['Lactobacillus', 'plantarum', 'subsp.', 'plantarum']"
"['Legionella', 'rowbothamii']","['Legionella', 'parisiensis']"
"['Legionella', 'rowbothamii']","['Legionella', 'pneumophila']"
"['Mycobacterium', 'obuense']","['Mycobacterium', 'ulcerans', 'Agy99']"
"['Mycobacterium', 'obuense']","['Mycobacterium', 'avium']"
"['Mycobacterium', 'obuense']","['Mycobacterium', 'avium', 'subsp.', 'hominissuis', 'A5']"
"['Mycobacterium', 'obuense']","['Mycobacterium', 'tuberculosis', 'H37Rv']"
"['Mycobacterium', 'obuense']","['Mycobacterium', 'marinum', 'M']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'equi', 'subsp.', 'equi']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'uberis']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'ratti']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'equinus']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'macedonicus']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'mutans', 'N66']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'mutans']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'salivarius']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'pyogenes']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'thermophilus']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'pyogenes', 'M1', 'GAS']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'agalactiae']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'thermophilus', 'LMD-9']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'suis']"
"['Streptococcus', 'massiliensis']","['Streptococcus', 'ferus']"
"['Sorangium', 'cellulosum']","['Sorangium', 'cellulosum']"
"['Sorangium', 'cellulosum']","['Sorangium', 'cellulosum', 'So', 'ce56']"
"['Sorangium', 'cellulosum']","['Sorangium', 'cellulosum', 'So0157-2']"
"['Legionella', 'taurinensis']","['Legionella', 'parisiensis']"
"['Legionella', 'taurinensis']","['Legionella', 'pneumophila']"
"['Brevibacillus', 'fulvus']","['Brevibacillus', 'laterosporus', 'PE36']"
"['Brevibacillus', 'fulvus']","['Brevibacillus', 'brevis', 'NBRC', '100599']"
"['Brevibacillus', 'fulvus']","['Brevibacillus', 'sp.', 'Leaf182']"
"['Brevibacillus', 'fulvus']","['Brevibacillus', 'laterosporus']"
"['Brevibacillus', 'fulvus']","['Brevibacillus', 'laterosporus', 'DSM', '25']"
"['Cystobacter', 'badius']","['Cystobacter', 'fuscus']"
"['Cystobacter', 'badius']","['Cystobacter', 'sp.', 'SBCb004']"
"['Cystobacter', 'badius']","['Cystobacter', 'sp.', 'Cbv34']"
"['Cystobacter', 'badius']","['Cystobacter', 'sp.']"
"['Nannocystis', 'exedens']","['Nannocystis', 'pusilla']"
"['Nannocystis', 'exedens']","['Nannocystis', 'sp.', 'MB1016']"
